TRDTYPE,USASTATE,YEAR,MONTH,month_seq,COUNTRY,DISAGMOT,impact,VALUE
1.0,40,2010,6,0,1.0,2.0,16455863.0,4896297.0
1.0,40,2010,6,0,1.0,1.0,16455863.0,135500382.0
2.0,40,2010,6,0,1.0,2.0,16455863.0,5247850.0
2.0,40,2010,6,0,1.0,1.0,16455863.0,67251006.0
1.0,40,2010,6,0,2.0,2.0,16455863.0,665004.0
1.0,40,2010,6,0,2.0,1.0,16455863.0,26427315.0
2.0,40,2010,6,0,2.0,2.0,16455863.0,568231.0
2.0,40,2010,6,0,2.0,1.0,16455863.0,49977278.0
1.0,41,2010,6,0,1.0,2.0,5011003.0,7149097.0
1.0,41,2010,6,0,1.0,1.0,5011003.0,166235138.0
2.0,41,2010,6,0,1.0,2.0,5011003.0,10071285.0
2.0,41,2010,6,0,1.0,1.0,5011003.0,85923429.0
1.0,41,2010,6,0,2.0,2.0,5011003.0,1844283.0
1.0,41,2010,6,0,2.0,1.0,5011003.0,9921752.0
2.0,41,2010,6,0,2.0,2.0,5011003.0,5642923.0
2.0,41,2010,6,0,2.0,1.0,5011003.0,27755469.0
1.0,42,2010,6,0,1.0,2.0,270110204.0,116510755.0
1.0,42,2010,6,0,1.0,1.0,270110204.0,761798768.0
2.0,42,2010,6,0,1.0,2.0,270110204.0,19413757.0
2.0,42,2010,6,0,1.0,1.0,270110204.0,616548357.0
1.0,42,2010,6,0,2.0,2.0,270110204.0,9532655.0
1.0,42,2010,6,0,2.0,1.0,270110204.0,150317229.0
2.0,42,2010,6,0,2.0,2.0,270110204.0,8392164.0
2.0,42,2010,6,0,2.0,1.0,270110204.0,233945754.0
1.0,44,2010,6,0,1.0,2.0,17745303.0,4981155.0
1.0,44,2010,6,0,1.0,1.0,17745303.0,38018936.0
2.0,44,2010,6,0,1.0,2.0,17745303.0,4019486.0
2.0,44,2010,6,0,1.0,1.0,17745303.0,27492104.0
1.0,44,2010,6,0,2.0,2.0,17745303.0,850519.0
1.0,44,2010,6,0,2.0,1.0,17745303.0,11964655.0
2.0,44,2010,6,0,2.0,2.0,17745303.0,204782.0
2.0,44,2010,6,0,2.0,1.0,17745303.0,15110555.0
1.0,45,2010,6,0,1.0,2.0,1899531.0,6934715.0
1.0,45,2010,6,0,1.0,1.0,1899531.0,217341127.0
2.0,45,2010,6,0,1.0,2.0,1899531.0,3592430.0
2.0,45,2010,6,0,1.0,1.0,1899531.0,108679207.0
1.0,45,2010,6,0,2.0,2.0,1899531.0,6003189.0
1.0,45,2010,6,0,2.0,1.0,1899531.0,86812611.0
2.0,45,2010,6,0,2.0,2.0,1899531.0,4251082.0
2.0,45,2010,6,0,2.0,1.0,1899531.0,108392020.0
1.0,46,2010,6,0,1.0,2.0,23441385.0,1284977.0
1.0,46,2010,6,0,1.0,1.0,23441385.0,27764848.0
2.0,46,2010,6,0,1.0,2.0,23441385.0,334027.0
2.0,46,2010,6,0,1.0,1.0,23441385.0,18319144.0
1.0,46,2010,6,0,2.0,2.0,23441385.0,78685.0
1.0,46,2010,6,0,2.0,1.0,23441385.0,18330697.0
2.0,46,2010,6,0,2.0,2.0,23441385.0,125801.0
2.0,46,2010,6,0,2.0,1.0,23441385.0,4213055.0
1.0,47,2010,6,0,1.0,2.0,1468984.0,36960274.0
1.0,47,2010,6,0,1.0,1.0,1468984.0,527939599.0
2.0,47,2010,6,0,1.0,2.0,1468984.0,10212303.0
2.0,47,2010,6,0,1.0,1.0,1468984.0,215980665.0
1.0,47,2010,6,0,2.0,2.0,1468984.0,9010726.0
1.0,47,2010,6,0,2.0,1.0,1468984.0,224535848.0
2.0,47,2010,6,0,2.0,2.0,1468984.0,13307394.0
2.0,47,2010,6,0,2.0,1.0,1468984.0,252331678.0
1.0,48,2010,6,0,1.0,2.0,86284208.0,163098403.0
1.0,48,2010,6,0,1.0,1.0,86284208.0,971800339.0
2.0,48,2010,6,0,1.0,2.0,86284208.0,129287587.0
2.0,48,2010,6,0,1.0,1.0,86284208.0,538638233.0
1.0,48,2010,6,0,2.0,2.0,86284208.0,47661694.0
1.0,48,2010,6,0,2.0,1.0,86284208.0,4577549823.0
2.0,48,2010,6,0,2.0,2.0,86284208.0,104573870.0
2.0,48,2010,6,0,2.0,1.0,86284208.0,4436439415.0
1.0,49,2010,6,0,1.0,2.0,2111064.0,97886448.0
1.0,49,2010,6,0,1.0,1.0,2111064.0,71290223.0
2.0,49,2010,6,0,1.0,2.0,2111064.0,30417628.0
2.0,49,2010,6,0,1.0,1.0,2111064.0,65464617.0
1.0,49,2010,6,0,2.0,2.0,2111064.0,1075255.0
1.0,49,2010,6,0,2.0,1.0,2111064.0,33246075.0
2.0,49,2010,6,0,2.0,2.0,2111064.0,143215395.0
2.0,49,2010,6,0,2.0,1.0,2111064.0,113587911.0
1.0,51,2010,6,0,1.0,2.0,65113439.0,9661741.0
1.0,51,2010,6,0,1.0,1.0,65113439.0,198869747.0
